,Tweets
0,Cérémonie d’ouverture du Sommet des Chefs d’Etat et de Gouvernement COP15 sur la lutte contre la désertification ce lundi 09 mai 2022 au Sofitel Hôtel Ivoire à Abidjan. 
1,"Face aux défis de la désertification, nous devons agir vite. Je me réjouis de la mobilisation  pour le lancement de la COP15 ainsi que le soutien à « l’Initiative d’Abidjan », qui vise à restaurer nos  écosystèmes forestiers dégradés et à promouvoir la gestion durable des sols. "
2,"A travers notre nouvelle Politique forestière, nous faisons la promotion de l’agroforesterie et faisons appel au secteur privé pour la reconstitution de notre couvert forestier. COP15Abidan "
3,"Je porte personnellement «l’initiative d’Abidjan », avec l’espoir qu’elle inspirera d'autres pays, en Afrique et dans le reste du monde. COP15Abidjan. "
4,L’impact des phénomènes climatiques sur les terres se pose avec acuité en Côte d’Ivoire. COP15Abidjan 
5,"Agissons vite, agissons ensemble pour donner une nouvelle vie à nos terres ! COP15Abidjan "
6,"La Cote d’Ivoire est fière d’accueillir la COP15 contre la désertification du 9 mai au 20 mai à Abidjan. 

Avec les leaders du monde entier et de l’, nous prendrons des engagements forts  pour préserver &amp; restaurer nos terres.

Ensemble à AbidjanCOP15 ! "
7,"La Côte d’Ivoire perd un valeureux fils, un homme de conviction et de devoir. Je perds un fidèle compagnon, un ami loyal et dévoué. 

En cette douloureuse circonstance, je présente mes  condoléances les plus émues à sa famille et à ses proches. 

Que son âme repose en paix."
8,"Mes chers compatriotes, 
J’ai la profonde douleur de vous annoncer le décès, ce samedi 7 mai 2022, du Président de l’Assemblée Nationale, mon jeune frère, Amadou Soumahoro. Je rends hommage à un grand homme d'Etat, dont l’engagement et le parcours politique ont marqué notre pays. "
9,"Entretien avec Son Éminence le Cardinal Pietro Parolin, Secrétaire d'Etat du Saint-Siège, ce vendredi 06 mai 2022 au Palais de la Présidence de la République. "
10,"Échanges très chaleureux et fructueux, ce vendredi, avec le Cardinal Pietro Parolin, Secrétaire d'Etat du Pape François.

La CôtedIvoire et le Vatican sont animés par la même volonté de renforcer leurs liens et de bâtir un monde en paix et plus équitable. "
11,"Entretien avec _adesina, Président de la BAD, ce jeudi 05 mai 2022 au Palais de la Présidence de la République "
12,"La journée mondiale du Patrimoine africain, nous offre l’occasion de mettre en lumière nos 5 sites emblématiques inscrits au patrimoine mondial de l’UNESCO. Une fierté pour notre pays ! 

PatrimoineAfricain WorldHeritage "
13,Réunion du ConseilNationalDeSécuritéCI ce jeudi 5 mai 
14,Prière de la fin du Ramadan (Aïd el-Fitr) à la Grande Mosquée de la Riviera Golf. 
15,"Ce lundi, j’ai pris part à la prière de l’Aïd el-Fitr. 

Je souhaite une excellente fête de Ramadan à tous nos frères et sœurs musulmans, dans la paix, la solidarité et le bonheur.

Que Dieu bénisse notre beau Pays ! "
16,"A l’occasion de la célébration de l’Aïd El Fitr, marquant la fin du jeûne du mois de Ramadan, je souhaite une très bonne fête à toute la communauté musulmane. "
17,"Je félicite les travailleuses et les travailleurs du monde paysan, de la fonction publique et du secteur privé dont les efforts et l’abnégation au travail ont permis à notre pays de réaliser des performances économiques et sociales remarquables au cours des 10 dernières années ! "
18,"Heureux de regagner Abidjan, ce vendredi, après un séjour en ArabieSaoudite. "
19,": Entre 2015 et 2020, l’accès à l’eau potable est passé de 65% à 82% sur l’étendue du territoire national. Le PSGouv permet…"
20,": Le taux de couverture électrique en Côte d’Ivoire est passé de 33% en 2011, à plus de 80% en 2020, grâce aux différents p…"
21,": Grâce au programme « École de la seconde chance », nos jeunes peuvent accéder à des formations qualifiantes, qui facilite…"
22,": Entre 2011 et 2019, nous avons recruté plus de 70 000 personnels enseignants et agents d’encadrement afin de renforcer l’…"
23,": En 2020, nous avons mis en œuvre la Couverture Maladie Universelle (CMU), au plan national, pour favoriser l’accès aux so…"
24,": Le bien-être des Ivoiriens est au cœur de notre action ! Le Programme Social du Gouvernement PSGouv, apporte des solutio…"
25,"Je suis arrivé, ce lundi, en ArabieSaoudite pour une visite d'amitié et de travail. 

Je remercie les autorités saoudiennes pour leur accueil. "
26,Départ pour l’Arabie Saoudite. 
27,"Mes chaleureuses félicitations au Président  pour sa réélection à la Présidence de la République française.

Je me réjouis de poursuivre avec lui le renforcement des liens d’amitié et de coopération entre la Côte d’Ivoire et la France."
28,"Ma déclaration à l’entame du ConseilDesMinistresCI de ce jeudi 21 avril 2022

 "
29,"Lors du ConseildesMinistresCI ce jeudi, j’ai demandé aux membres du nouveau Gvt de se mettre au travail afin de  poursuivre les réformes pour dynamiser notre économie et accélérer la mise en œuvre de notre programme UneCotedIvoireSolidaire, pour le bien-être de nos populations. "
30,: Communiqué de la Présidence de la République relatif à la signature du décret portant nomination des membres du Gouvernem…
31,: Communiqué de la Présidence de la République 
32,"Cérémonie Solennelle de Prestation de Serment du Vice-Président de la République, ce mercredi 20 avril 2022 PrestationdeSermentVP "
33,"J’adresse mes vives et chaleureuses félicitations au VP Tiémoko Meyliet Koné qui vient de prêter serment devant le Conseil Constitutionnel. 
Au regard de ses qualités personnelles et professionnelles, je n’ai aucun doute qu’il saura relever les défis liés à cette nouvelle mission "
34,
35,"Suivez, en direct du Palais de la Présidence de la République, la Cérémonie Solennelle de Prestation de Serment du Vice-président, ce mercredi 20 avril 2022

"
36,
37,"Devant le Parlement réuni en Congrès à Yamoussoukro, j’ai annoncé la nomination de Tiémoko Meyliet Koné au poste de Vice-Président de la République. J’ai également reconduit le Premier Ministre  à qui j’ai demandé de me proposer un Gouvernement resserré cette semaine "
38,"Message sur l’état de la Nation devant le Parlement réuni en congrès, ce mardi 19 avril 2022, à la Fondation Félix Houphouët-Boigny pour la recherche de la paix, à Yamoussoukro. EtatdelaNation "
